1024, -0.6, 'invert_unordered_0.4', 'heap_sort', 0.0019943714141845703
1024, -0.6, 'invert_unordered_0.4', 'quick_sort', 0.0009975433349609375
1024, -0.6, 'invert_unordered_0.4', 'quick_sort_non_recursive', 0.000997304916381836
1024, -0.6, 'invert_unordered_0.4', 'built_in_sort', 0.0
1024, -0.8, 'invert_unordered_0.2', 'straight_insertion', 0.05585050582885742
1024, -0.8, 'invert_unordered_0.2', 'binary_insertion', 0.026927947998046875
1024, -0.8, 'invert_unordered_0.2', 'straight_selection', 0.016954898834228516
1024, -0.8, 'invert_unordered_0.2', 'bubble_sort', 0.07479977607727051
1024, -0.8, 'invert_unordered_0.2', 'shaker_sort', 0.07280540466308594
1024, -0.8, 'invert_unordered_0.2', 'shell_sort_9531', 0.006981372833251953
1024, -0.8, 'invert_unordered_0.2', 'heap_sort', 0.0019948482513427734
1024, -0.8, 'invert_unordered_0.2', 'quick_sort', 0.000997304916381836
1024, -0.8, 'invert_unordered_0.2', 'quick_sort_non_recursive', 0.000997304916381836
1024, -0.8, 'invert_unordered_0.2', 'built_in_sort', 0.0
1024, -1.0, 'inverted', 'straight_insertion', 0.06382918357849121
1024, -1.0, 'inverted', 'binary_insertion', 0.029920339584350586
1024, -1.0, 'inverted', 'straight_selection', 0.020943641662597656
1024, -1.0, 'inverted', 'bubble_sort', 0.0827786922454834
1024, -1.0, 'inverted', 'shaker_sort', 0.08377599716186523
1024, -1.0, 'inverted', 'shell_sort_9531', 0.006981372833251953
1024, -1.0, 'inverted', 'heap_sort', 0.001994609832763672
1024, -1.0, 'inverted', 'quick_sort', 0.0009975433349609375
1024, -1.0, 'inverted', 'quick_sort_non_recursive', 0.0009968280792236328
1024, -1.0, 'inverted', 'built_in_sort', 0.0
1024, NULL, 'cluster_unordered', 'straight_insertion', 0.02094435691833496
1024, NULL, 'cluster_unordered', 'binary_insertion', 0.009973287582397461
1024, NULL, 'cluster_unordered', 'straight_selection', 0.016954898834228516
1024, NULL, 'cluster_unordered', 'bubble_sort', 0.047872066497802734
1024, NULL, 'cluster_unordered', 'shaker_sort', 0.03291177749633789
1024, NULL, 'cluster_unordered', 'shell_sort_9531', 0.002991914749145508
1024, NULL, 'cluster_unordered', 'heap_sort', 0.001994609832763672
1024, NULL, 'cluster_unordered', 'quick_sort', 0.0009975433349609375
1024, NULL, 'cluster_unordered', 'quick_sort_non_recursive', 0.0009968280792236328
1024, NULL, 'cluster_unordered', 'built_in_sort', 0.0
